"filename", "language", "Python", "CSS", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 203, 0, 0, 13, 23, 239
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 28, 0, 0, 2, 4, 34
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\calendar.js", "JavaScript", 0, 0, 0, 178, 0, 0, 28, 16, 222
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\cancel.js", "JavaScript", 0, 0, 0, 24, 0, 0, 3, 3, 30
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\change_form.js", "JavaScript", 0, 0, 0, 14, 0, 0, 2, 1, 17
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\collapse.js", "JavaScript", 0, 0, 0, 37, 0, 0, 6, 1, 44
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\core.js", "JavaScript", 0, 0, 0, 136, 0, 0, 19, 16, 171
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\filters.js", "JavaScript", 0, 0, 0, 20, 0, 0, 6, 5, 31
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\inlines.js", "JavaScript", 0, 0, 0, 272, 0, 0, 61, 27, 360
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, 2, 0, 0, 6, 1, 9
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, 73, 0, 0, 1, 6, 80
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\popup_response.js", "JavaScript", 0, 0, 0, 15, 0, 0, 1, 1, 17
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\prepopulate.js", "JavaScript", 0, 0, 0, 29, 0, 0, 10, 5, 44
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\theme.js", "JavaScript", 0, 0, 0, 46, 0, 0, 4, 7, 57
